iter	Passed	Remaining
189	2511	10708
190	2527	10704
191	2543	10702
192	2559	10702
193	2576	10703
194	2591	10700
195	2608	10698
196	2623	10694
197	2638	10685
198	2652	10678
199	2668	10672
200	2683	10668
201	2701	10671
202	2720	10679
203	2735	10674
204	2750	10665
205	2766	10662
206	2784	10666
207	2801	10667
208	2817	10663
209	2835	10667
210	2856	10680
211	2876	10691
212	2893	10690
213	2905	10672
214	2923	10672
215	2943	10684
216	2956	10668
217	2970	10656
218	2984	10644
219	2999	10635
220	3013	10621
221	3026	10607
222	3043	10602
223	3056	10587
224	3069	10571
225	3082	10557
226	3097	10547
227	3112	10538
228	3126	10526
229	3140	10512
230	3158	10515
231	3171	10499
232	3184	10483
233	3199	10474
234	3214	10464
235	3229	10454
236	3243	10441
237	3256	10426
238	3270	10414
239	3285	10404
240	3300	10394
241	3317	10392
242	3336	10394
243	3355	10395
244	3375	10402
245	3393	10400
246	3414	10409
247	3431	10403
248	3451	10411
249	3470	10412
250	3484	10398
251	3497	10381
252	3511	10367
253	3523	10349
254	3538	10337
255	3556	10336
256	3570	10322
257	3584	10308
258	3597	10291
259	3610	10274
260	3622	10257
261	3635	10240
262	3648	10224
263	3661	10208
264	3677	10198
265	3691	10185
266	3706	10174
267	3719	10159
268	3733	10144
269	3747	10131
270	3760	10115
271	3776	10106
272	3792	10100
273	3809	10094
274	3824	10083
275	3854	10110
276	3868	10098
277	3883	10085
278	3899	10076
279	3915	10069
280	3932	10062
281	3948	10053
282	3967	10052
283	3989	10058
284	4004	10045
285	4019	10035
286	4034	10021
287	4049	10010
288	4062	9993
289	4075	9978
290	4088	9960
291	4101	9945
292	4114	9928
293	4127	9912
294	4139	9892
295	4152	9876
296	4165	9859
297	4180	9847
298	4195	9836
299	4210	9824
300	4225	9812
301	4236	9792
302	4249	9774
303	4261	9757
304	4275	9741
305	4286	9722
306	4302	9712
307	4318	9701
308	4334	9693
309	4350	9682
310	4365	9670
311	4381	9661
312	4396	9650
313	4415	9646
314	4431	9635
315	4443	9619
316	4457	9603
317	4471	9589
318	4485	9575
319	4498	9559
320	4511	9542
321	4523	9525
322	4535	9506
323	4548	9489
324	4560	9472
325	4573	9455
326	4585	9438
327	4598	9421
328	4610	9404
329	4666	9474
330	4686	9472
331	4702	9461
332	4714	9443
333	4727	9427
334	4742	9413
335	4757	9401
336	4772	9389
337	4789	9379
338	4808	9376
339	4828	9373
340	4844	9362
341	4862	9355
342	4880	9348
343	4896	9336
344	4919	9339
345	4941	9340
346	4961	9337
347	4982	9334
348	5003	9334
349	5033	9347
350	5053	9343
351	5074	9341
352	5100	9348
353	5127	9356
354	5150	9358
355	5172	9356
356	5194	9356
357	5223	9366
358	5244	9364
359	5264	9358
360	5284	9353
361	5303	9346
362	5330	9354
363	5353	9354
364	5378	9356
365	5405	9363
366	5426	9358
367	5455	9369
368	5481	9374
369	5502	9369
370	5523	9365
371	5541	9354
372	5561	9349
373	5585	9349
374	5610	9350
375	5633	9349
376	5655	9345
377	5676	9340
378	5697	9335
379	5715	9325
380	5729	9308
381	5744	9293
382	5758	9276
383	5773	9261
384	5791	9250
385	5808	9238
386	5828	9231
387	5847	9224
388	5866	9215
389	5886	9207
390	5905	9198
391	5924	9188
392	5941	9176
393	5959	9166
394	5976	9153
395	5993	9141
396	6016	9137
397	6039	9135
398	6070	9143
399	6092	9138
400	6111	9129
401	6132	9122
402	6150	9111
403	6167	9098
404	6182	9083
405	6198	9068
406	6214	9054
407	6231	9041
408	6249	9029
409	6268	9021
410	6291	9016
411	6313	9010
412	6333	9001
413	6350	8989
414	6365	8972
415	6380	8956
416	6393	8938
417	6406	8920
418	6422	8905
419	6436	8888
420	6451	8873
421	6470	8862
422	6486	8848
423	6512	8846
424	6535	8842
425	6556	8833
426	6576	8825
427	6593	8812
428	6608	8796
429	6625	8782
430	6642	8768
431	6658	8755
432	6675	8741
433	6692	8728
434	6710	8716
435	6726	8701
436	6744	8689
437	6766	8682
438	6786	8672
439	6810	8667
440	6827	8654
441	6850	8647
442	6868	8635
443	6887	8624
444	6902	8608
445	6917	8592
446	6933	8577
447	6949	8562
448	6965	8547
449	6981	8533
450	7000	8521
451	7018	8509
452	7043	8505
453	7065	8496
454	7081	8482
455	7099	8470
456	7122	8462
457	7144	8455
458	7163	8442
459	7180	8428
460	7199	8417
461	7215	8402
462	7231	8386
463	7247	8372
464	7265	8359
465	7285	8349
466	7304	8336
467	7322	8323
468	7343	8314
469	7362	8302
470	7378	8287
471	7393	8270
472	7410	8256
473	7425	8240
474	7441	8224
475	7457	8209
476	7474	8195
477	7490	8180
478	7506	8164
479	7523	8150
480	7541	8137
481	7562	8127
482	7581	8115
483	7600	8102
484	7617	8088
485	7633	8073
486	7649	8058
487	7665	8042
488	7681	8027
489	7697	8011
490	7713	7996
491	7729	7980
492	7744	7964
493	7763	7952
494	7779	7936
495	7798	7924
496	7819	7914
497	7840	7903
498	7859	7890
499	7879	7879
500	7897	7866
501	7914	7851
502	7929	7834
503	7945	7819
504	7959	7802
505	7974	7785
506	7988	7767
507	8002	7750
508	8016	7733
509	8029	7714
510	8047	7701
511	8063	7685
512	8079	7670
513	8095	7654
514	8112	7640
515	8129	7625
516	8145	7610
517	8164	7596
518	8190	7591
519	8204	7573
520	8218	7555
521	8231	7538
522	8245	7520
523	8258	7502
524	8273	7485
525	8288	7469
526	8302	7452
527	8318	7436
528	8333	7420
529	8348	7403
530	8365	7389
531	8380	7372
532	8394	7355
533	8413	7342
534	8429	7326
535	8443	7309
536	8457	7292
537	8473	7276
538	8489	7261
539	8504	7244
540	8519	7228
541	8536	7213
542	8553	7198
543	8574	7187
544	8588	7170
545	8605	7155
546	8623	7141
547	8639	7126
548	8657	7111
549	8672	7096
550	8688	7079
551	8703	7063
552	8718	7047
553	8734	7031
554	8749	7015
555	8766	7000
556	8783	6985
557	8800	6971
558	8817	6955
559	8835	6942
560	8853	6927
561	8870	6913
562	8890	6901
563	8906	6885
564	8922	6869
565	8941	6855
566	8956	6839
567	8974	6825
568	8990	6810
569	9005	6793
570	9019	6776
571	9034	6760
572	9049	6743
573	9067	6729
574	9083	6713
575	9099	6698
576	9115	6682
577	9129	6665
578	9149	6653
579	9171	6641
580	9189	6627
581	9211	6615
582	9274	6633
583	9310	6632
584	9328	6617
585	9344	6601
586	9365	6589
587	9384	6575
588	9403	6561
589	9423	6548
590	9444	6536
591	9462	6521
592	9483	6508
593	9504	6496
594	9522	6481
595	9539	6466
596	9555	6450
597	9573	6435
598	9592	6421
599	9608	6405
600	9624	6389
601	9639	6373
602	9655	6357
603	9670	6340
604	9686	6324
605	9703	6309
606	9722	6294
607	9740	6280
608	9764	6269
609	9784	6255
610	9805	6242
611	9824	6228
612	9845	6215
613	9866	6202
614	9884	6187
615	9915	6180
616	9930	6164
617	9945	6147
618	9960	6130
619	9975	6113
620	9991	6097
621	10005	6080
622	10019	6063
623	10036	6047
624	10054	6032
625	10074	6018
626	10098	6007
627	10118	5993
628	10135	5978
629	10151	5962
630	10168	5946
631	10188	5932
632	10205	5917
633	10221	5900
634	10237	5884
635	10255	5869
636	10271	5853
637	10287	5837
638	10304	5821
639	10320	5805
640	10336	5789
641	10351	5772
642	10366	5755
643	10383	5739
644	10404	5726
645	10421	5710
646	10439	5695
647	10458	5680
648	10478	5667
649	10497	5652
650	10514	5637
651	10530	5620
652	10543	5602
653	10559	5586
654	10579	5572
655	10596	5556
656	10613	5541
657	10630	5525
658	10645	5508
659	10661	5492
660	10675	5475
661	10691	5458
662	10707	5442
663	10722	5425
664	10738	5409
665	10753	5393
666	10770	5377
667	10787	5361
668	10804	5345
669	10822	5330
670	10837	5313
671	10853	5297
672	10868	5280
673	10883	5264
674	10903	5249
675	10917	5232
676	10933	5216
677	10950	5200
678	10966	5184
679	10984	5169
680	11000	5152
681	11015	5136
682	11030	5119
683	11046	5103
684	11062	5087
685	11078	5070
686	11095	5055
687	11114	5040
688	11130	5024
689	11146	5007
690	11163	4991
691	11178	4975
692	11194	4959
693	11209	4942
694	11224	4926
695	11238	4908
696	11254	4892
697	11268	4875
698	11283	4858
699	11298	4842
700	11313	4825
701	11328	4809
702	11345	4793
703	11361	4776
704	11380	4762
705	11403	4748
706	11421	4733
707	11437	4717
708	11454	4701
709	11470	4685
710	11488	4669
711	11506	4654
712	11523	4638
713	11541	4623
714	11557	4606
715	11576	4591
716	11593	4576
717	11612	4560
718	11633	4546
719	11651	4531
720	11669	4515
721	11686	4499
722	11704	4484
723	11720	4468
724	11735	4451
725	11752	4435
726	11769	4419
727	11785	4403
728	11802	4387
729	11818	4371
730	11834	4355
731	11851	4339
732	11868	4323
733	11883	4306
734	11901	4290
735	11919	4275
736	11935	4259
737	11949	4242
738	11966	4226
739	11981	4209
740	11994	4192
741	12007	4175
742	12020	4157
743	12033	4140
744	12046	4123
745	12060	4106
746	12073	4089
747	12086	4071
748	12098	4054
749	12114	4038
750	12128	4021
751	12142	4004
752	12158	3988
753	12174	3972
754	12193	3956
755	12209	3940
756	12225	3924
757	12240	3907
758	12253	3890
759	12264	3873
760	12281	3857
761	12294	3840
762	12307	3823
763	12322	3806
764	12344	3791
765	12361	3776
766	12379	3760
767	12396	3744
768	12414	3729
769	12432	3713
770	12448	3697
771	12464	3681
772	12479	3664
773	12494	3648
774	12506	3630
775	12519	3613
776	12534	3597
777	12547	3580
778	12561	3563
779	12575	3546
780	12590	3530
781	12603	3513
782	12620	3497
783	12634	3480
784	12650	3464
785	12665	3448
786	12676	3430
787	12689	3414
788	12703	3397
789	12716	3380
790	12729	3363
791	12741	3346
792	12755	3329
793	12770	3313
794	12787	3297
795	12802	3281
796	12817	3264
797	12833	3248
798	12848	3232
799	12863	3215
800	12877	3199
801	12889	3182
802	12903	3165
803	12917	3148
804	12931	3132
805	12944	3115
806	12955	3098
807	12968	3081
808	12981	3064
809	12994	3048
810	13011	3032
811	13024	3015
812	13035	2998
813	13048	2981
814	13065	2965
815	13084	2950
816	13100	2934
817	13114	2917
818	13129	2901
819	13144	2885
820	13160	2869
821	13174	2852
822	13188	2836
823	13202	2819
824	13216	2803
825	13231	2787
826	13246	2770
827	13261	2754
828	13277	2738
829	13294	2723
830	13311	2707
831	13340	2693
832	13357	2677
833	13370	2661
834	13382	2644
835	13398	2628
836	13415	2612
837	13429	2596
838	13442	2579
839	13455	2562
840	13470	2546
841	13484	2530
842	13497	2513
843	13511	2497
844	13524	2480
845	13539	2464
846	13553	2448
847	13565	2431
848	13580	2415
849	13600	2400
850	13618	2384
851	13638	2369
852	13656	2353
853	13683	2339
854	13704	2324
855	13724	2308
856	13741	2292
857	13756	2276
858	13769	2260
859	13785	2244
860	13799	2227
861	13812	2211
862	13825	2194
863	13839	2178
864	13858	2162
865	13876	2147
866	13893	2131
867	13911	2115
868	13931	2100
869	13947	2084
870	13963	2068
871	13979	2051
872	13998	2036
873	14019	2021
874	14044	2006
875	14068	1991
876	14090	1976
877	14112	1960
878	14128	1944
879	14148	1929
880	14165	1913
881	14182	1897
882	14207	1882
883	14224	1866
884	14242	1850
885	14260	1834
886	14277	1818
887	14294	1802
888	14311	1786
889	14328	1770
890	14343	1754
891	14359	1738
892	14373	1722
893	14389	1706
894	14403	1689
895	14417	1673
896	14434	1657
897	14452	1641
898	14471	1625
899	14488	1609
900	14506	1593
901	14525	1578
902	14543	1562
903	14557	1545
904	14572	1529
905	14587	1513
906	14600	1497
907	14615	1480
908	14629	1464
909	14646	1448
910	14661	1432
911	14675	1416
912	14692	1400
913	14708	1383
914	14720	1367
915	14734	1351
916	14746	1334
917	14759	1318
918	14772	1302
919	14787	1285
920	14800	1269
921	14814	1253
922	14831	1237
923	14845	1221
924	14864	1205
925	14884	1189
926	14903	1173
927	14923	1157
928	14942	1141
929	14958	1125
930	14973	1109
931	14986	1093
932	15000	1077
933	15013	1060
934	15026	1044
935	15039	1028
936	15056	1012
937	15070	996
938	15084	979
939	15098	963
940	15112	947
941	15127	931
942	15139	915
943	15155	899
944	15173	883
945	15193	867
946	15213	851
947	15231	835
948	15248	819
949	15264	803
950	15278	787
951	15292	771
952	15307	754
953	15354	740
954	15394	725
955	15408	709
956	15422	692
957	15435	676
958	15449	660
959	15466	644
960	15480	628
961	15494	612
962	15508	595
963	15522	579
964	15535	563
965	15548	547
966	15562	531
967	15575	514
968	15589	498
969	15603	482
970	15615	466
971	15629	450
972	15644	434
973	15659	418
974	15677	401
975	15696	385
976	15717	370
977	15736	353
978	15750	337
979	15768	321
980	15783	305
981	15796	289
982	15810	273
983	15825	257
984	15837	241
985	15853	225
986	15867	208
987	15882	192
988	15894	176
989	15907	160
990	15920	144
991	15932	128
992	15944	112
993	15956	96
994	15971	80
995	15984	64
996	15995	48
997	16007	32
998	16020	16
999	16033	0
